Feature,Importance
Body_Size_MA5,0.32813108
Rolling_Std_10,0.20183547
DIA_Corr_20,0.06696884
Dynamic_Support,0.06694922
Shadow_Balance,0.06538504
Long_Lower_Shadow,0.04985991
Price_Tick,0.047373317
Volume_Profile,0.034121584
Price_Shift,0.031290557
Body_To_Range_Ratio,0.016605876
ORB_Strength,0.014162579
Volume,0.013967917
DIA_Beta_60,0.008973925
MACD,0.008891133
Support_Resistance_Range,0.005015243
Lower_Shadow,0.0049375407
Volume_Shift,0.004879044
Low,0.0041198363
Real_Body_Size,0.0036299909
QQQ_Beta_60,0.0032159062
